id,unite,konu_alt_basligi,kazanım,soru_tipi,bloom,zorluk,gorsel_turu,veri_yapisi,on_bilgi,matematiksel_beceriler,baglam,kaynak_yil,dogru_cevap,image_path,kazanım_len,baglam_len,kazanım_kelime_sayisi,baglam_kelime_sayisi,kazanım_ort_kelime,baglam_ort_kelime,on_bilgi_sayisi,mat_beceri_sayisi,bloom_ordinal,gorsel_karmaşıklık,veri_yapisi_karmaşıklık
S31-2025-VeriAnalizi,Veri Analizi,Tablo - Daire Grafik Eşleştirme,Verilen tablo verilerini yorumlayarak uygun daire grafiğini seçer.,Veri Yorumlama ve Dönüştürme,Uygulama,2,Tablo + Daire Grafik,Tablo → Daire Grafik,Oran-orantı | Yüzde hesaplama | Merkez açı ilişkisi,Yüzdeyi açıya dönüştürme | Veri karşılaştırma | Toplama,Doğal afetler – orman yangınları,2025,D,images/veri_analizi_31.png,66,32,8,5,8.25,6.4,3,3,2,3,2
S32-2025-VeriAnalizi,Veri Analizi,Tablo - Daire Grafik Eşleştirme,Verilen tablo verilerini yorumlayarak uygun daire grafiğini seçer.,Veri Yorumlama ve Dönüştürme,Uygulama,2,Tablo + Daire Grafik,Tablo → Daire Grafik,Oran-orantı | Yüzde hesaplama | Merkez açı ilişkisi,Yüzdeyi açıya dönüştürme | Veri karşılaştırma | Toplama,Şirket ortaklık oranları,2025,C,images/veri_analizi_32.png,66,24,8,3,8.25,8.0,3,3,2,3,2
S33-2024-VeriAnalizi,Veri Analizi,Tablo - Daire Grafik Eşleştirme,Verilen tablo verilerini yorumlayarak uygun daire grafiğini seçer.,Veri Yorumlama ve Dönüştürme,Uygulama,2,Tablo + Daire Grafik,Tablo → Daire Grafik,Yüzde hesaplama | Oran-orantı | Grafik okuma,Toplama | Oran kurma | Veri karşılaştırma,Mağaza kâr analizleri,2024,D,images/veri_analizi_33.png,66,21,8,3,8.25,7.0,3,3,2,3,2
S34-2022-VeriAnalizi,Veri Analizi,Grafik Türleri Arası Dönüşüm,Daire grafikteki verileri kullanarak sütun grafiği oluşturur ve yorumlar.,Grafik Dönüştürme ve Yorumlama,Uygulama,3,Daire + Sütun Grafik,Daire → Sütun,Oran-orantı | Yüzde hesaplama | Daire grafikte açı–veri ilişkisi,Açıdan oran bulma | Oranla değer hesaplama | Veri yorumlama,Mağazada koltuk renklerinin dağılımı,2022,C,images/veri_analizi_34.png,73,36,9,4,8.11111111111111,9.0,3,3,2,3,2
S35-2023-VeriAnalizi,Veri Analizi,Oran Verilerinden Grafik Oluşturma,Verilen oranlardan hareketle daire grafiği oluşturur ve yorumlar.,Oran - Grafik Dönüştürme,Uygulama,2,Daire Grafik,Oran → Daire Grafik,Oran-orantı | Açı hesaplama | Grafik yorumlama,Oran kurma | Toplam açıyı paylaştırma | Veri yorumlama,Çanakkale gezisine katılım oranı,2023,B,images/veri_analizi_35.png,65,32,8,4,8.125,8.0,3,3,2,2,2
S36-2020-VeriAnalizi,Veri Analizi,Grafik Türleri Arası Dönüşüm,Çizgi grafikte verilen verileri kullanarak daire grafiği oluşturur ve yorumlar.,Grafik Dönüştürme,Uygulama,3,Çizgi Grafik,Çizgi → Daire Grafik,Oran-orantı | Yüzde hesaplama | Açı hesaplama,Toplama | Oran kurma | Yüzdeyi açıya dönüştürme,Pancar üretimi miktarlarının yıllara göre analizi,2020,D,images/veri_analizi_36.png,79,49,10,6,7.9,8.166666666666666,3,3,2,2,2
S37-2021-VeriAnalizi,Veri Analizi,Grafik Verilerini Yorumlama,Daire grafikteki verileri yorumlayarak sayısal karşılaştırmalar yapar.,Veri Yorumlama,Uygulama,2,Daire Grafik,Daire → Sayısal Veri,Oran-orantı | Açı hesaplama | Veri okuma,Oran kurma | Açıdan yüzde bulma | Sayı farkı hesaplama,Resim sergisinde sergilenen tablo sayıları,2021,B,images/veri_analizi_37.png,70,42,7,5,10.0,8.4,3,3,2,2,2
S38-2025-VeriAnalizi,Veri Analizi,Grafik Verilerini Yorumlama,Daire grafikte verilen yüzdelik verileri kullanarak problem çözer.,Yüzde Hesaplama ve Veri Yorumlama,Uygulama,3,Daire Grafik,Daire → Sayısal Veri,Oran-orantı | Yüzde hesaplama | Açıdan veri okuma,Yüzdeyi sayı ile ilişkilendirme | Toplama | Veri çıkarımı,Tiyatro bileti satışı ve katılım oranı,2025,D,images/veri_analizi_38.png,66,38,8,6,8.25,6.333333333333333,3,3,2,2,2
S39-2019-VeriAnalizi,Veri Analizi,Tablo Verilerinden Grafik Oluşturma,Tablodaki verileri yorumlayarak daire grafiği oluşturur ve karşılaştırma yapar.,Veri Dönüştürme ve Yorumlama,Analiz,3,Tablo + Daire Grafik,Tablo → Daire Grafik,Toplama | Oran-orantı | Yüzde hesaplama,Veri karşılaştırma | Toplam bulma | Açı hesabı yapma,Kırtasiyedeki kalem türlerinin dağılımı,2019,D,images/veri_analizi_39.png,79,39,9,4,8.777777777777779,9.75,3,3,3,3,2
S40-2025-VeriAnalizi,Veri Analizi,Grafikler Arası Karşılaştırma ve Veri Çıkarımı,Birden fazla grafikte verilen verileri karşılaştırarak çıkarım yapar.,Veri Yorumlama ve Karşılaştırma,Analiz,3,İki Daire Grafik,Daire → Daire Karşılaştırması,Oran-orantı | Yüzde hesaplama | Veri farkı bulma,Açı–veri ilişkisi kurma | Toplamdan fark bulma | Oran yorumlama,Marketlerde kolonya satış miktarları analizi,2025,C,images/veri_analizi_40.png,69,44,8,5,8.625,8.8,3,3,3,2,2
S42-2022-VeriAnalizi,Veri Analizi,Daire Grafik ve Oran Yorumlama,Daire grafiğini kullanarak oran ve sayı ilişkisini çözer.,Problem Çözme,Analiz,3,Daire Grafik,Grafik → Sayı Hesaplama,Oran | Açı ölçüleri | Orantı kurma | Toplam kavramı,Oran kurma | Açıdan yüzde bulma | Denklik oluşturma,Günlük yaşam – boncuk dağılımı,2022,D,images/veri_analizi_42.png,57,30,8,5,7.125,6.0,4,3,3,2,2
S43-2021-VeriAnalizi,Veri Analizi,Daire Grafik Yorumlama ve Veri İlişkilendirme,Birden fazla daire grafiğini ilişkilendirerek veri analizi yapar.,Problem Çözme,Analiz,4,Çift Daire Grafik,Grafik → Orantı → Hesaplama,Açı ölçüleri | Oran-orantı | Yüzde kavramı,İki grafik karşılaştırma | Orantısal ilişki kurma,Araç modelleri ve renk dağılımı,2021,A,images/veri_analizi_43.png,65,31,8,5,8.125,6.2,3,2,3,2,3
S44-2020-VeriAnalizi,Veri Analizi,Daire Grafik ve Tablo İlişkisi,Tablodan ve grafikten yararlanarak veri analizi yapar.,Problem Çözme,Analiz,4,Tablo + Daire Grafik,Tablo → Grafik → Hesaplama,Açı ölçüleri | Yüzde kavramı | Orantı kurma,Orantı kurma | Veri bütünleştirme | Açıdan oran bulma,Spor kulübü verileri,2020,A,images/veri_analizi_44.png,54,20,7,3,7.714285714285714,6.666666666666667,3,3,3,3,3
S45-2020-VeriAnalizi,Veri Analizi,Çift Grafik Yorumlama (Sütun + Daire),İki farklı grafik türünü bir arada yorumlayarak sonuca ulaşır.,Problem Çözme,Analiz,4,Sütun ve Daire Grafik,Grafik → Grafik → Hesaplama,Yüzde oranları | Orantı kurma | Toplam kavramı,Yüzde hesaplama | Grafik birleştirme | Oran kullanma,Dil kursu öğrenci oranları,2020,B,images/veri_analizi_45.png,62,26,9,4,6.888888888888889,6.5,3,3,3,2,3
S46-2025-VeriAnalizi,Veri Analizi,Grafiklerden Sonuç Çıkarma,Grafiklerdeki verileri karşılaştırarak çıkarım yapar.,Yorumlama,Analiz,3,Sütun Grafik + Hedef Şeması,Grafik → Yorumlama,Açı kavramı | Toplam puan kavramı,Veri karşılaştırma | Sonuç çıkarma,Oyun – hedef tahtası puanları,2025,D,images/veri_analizi_46.png,53,29,5,5,10.6,5.8,2,2,3,3,2
S47-2021-VeriAnalizi,Veri Analizi,Daire ve Sütun Grafik Karşılaştırması,Farklı grafik türlerinden elde edilen verileri birleştirerek yorumlar.,Problem Çözme,Analiz,3,Daire + Sütun Grafik,Grafik → Grafik → Karşılaştırma,Açı ölçüleri | Oran-orantı | Toplam kavramı,Karşılaştırma | Veri bütünleştirme | Yorumlama,Öğrencilerin meslek tercihi anketi,2021,B,images/veri_analizi_47.png,70,34,8,4,8.75,8.5,3,3,3,3,3
S48-2018-VeriAnalizi,Veri Analizi,Tablo ve Daire Grafik İlişkilendirme,Tablo verilerini daire grafiğiyle ilişkilendirerek hesaplama yapar.,Problem Çözme,Uygulama,3,Tablo + Daire Grafik,Tablo → Grafik → Hesaplama,Açı ölçüleri | Oran-orantı | Kütle ve yüzey ilişkisi,Orantı kurma | Birimi dönüştürme | Toplamdan parça bulma,Cam çeşitleri ve bina kaplama,2018,B,images/veri_analizi_48.png,67,29,7,5,9.571428571428571,5.8,3,3,2,3,3
S49-2024-VeriAnalizi,Veri Analizi,Daire ve Sütun Grafik İlişkilendirme,İki grafikten elde edilen verileri karşılaştırarak bilinmeyeni bulur.,Problem Çözme,Analiz,3,Daire + Sütun Grafik,Grafik → Grafik → Hesaplama,Açı ölçüleri | Oran-orantı | Yüzde kavramı,Orantı kurma | Yüzde hesaplama | Karşılaştırma,Tiyatro salonu koltuk dağılımı,2024,B,images/veri_analizi_49.png,69,30,8,4,8.625,7.5,3,3,3,3,3
S50-2020-VeriAnalizi,Veri Analizi,Daire ve Sütun Grafik Karşılaştırması,Grafiklerden veri okuyarak toplam sayıyı bulur.,Problem Çözme,Uygulama,3,Daire + Sütun Grafik,Grafik → Grafik → Hesaplama,Açı ölçüleri | Oran-orantı | Toplam kavramı,Toplama | Orantı kurma | Yorumlama,Okul gezisindeki öğrenci dağılımı,2020,C,images/veri_analizi_50.png,47,33,6,4,7.833333333333333,8.25,3,3,2,3,3
S51-2024-VeriAnalizi,Veri Analizi,Daire Grafik Yorumlama ve Açı Hesaplama,Daire grafiğinde verilen açı ölçülerini kullanarak veri analizi yapar ve matematiksel işlemlerle sonuca ulaşır.,Problem Çözme,Analiz,3,Çift Daire Grafik,Grafik → Hesaplama,Açı ölçüleri | Daire grafiği okuma | Oran-orantı | Toplam kavramı,Açı hesaplama | Orantı kurma | Toplama-çıkarma | Minimum değer bulma,Günlük yaşam – kütüphane boya işlemi,2024,C,images/veri_analizi_51.png,111,36,14,6,7.928571428571429,6.0,4,4,3,2,2
S52-2024-VeriAnalizi,Veri Analizi,Daire Grafik Yorumlama ve Zaman Hesaplama,Daire grafiğinde verilen açı ölçülerini kullanarak orantı kurar ve zaman farkı hesaplar.,Problem Çözme,Analiz,3,Çift Daire Grafik,Grafik → Hesaplama,Açı ölçüleri | Daire grafiği okuma | Oran-orantı | Zaman hesaplama,Açı hesaplama | Orantı kurma | Çıkarma işlemi | Zaman farkı bulma,Günlük yaşam – fotoğraf çekimi/yaş dağılımı,2024,A,images/veri_analizi_52.png,88,43,12,6,7.333333333333333,7.166666666666667,4,4,3,2,2
